initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
3.833640814,27.50346375,103.3413544,253.182785,374.9819031,2542.546875
3.769005537,26.66888046,91.15136719,219.9343109,364.0480042,2300.981445
3.72487545,25.89196205,91.06598663,214.3544617,363.8014221,2282.420166
3.691632986,25.2048111,90.96095276,210.9129028,363.6292419,2275.485352
3.682743788,24.51457787,90.95539856,208.8429108,363.6266174,2273.078369
3.665595293,23.88879395,90.93861389,207.5123901,363.6786499,2272.759521
3.667135239,23.36397552,90.9133606,206.7778931,363.6639099,2272.621338
3.66271615,23.00736237,90.87085724,206.1728363,363.6672974,2272.706299
3.654976368,22.82332802,90.95243835,205.7987213,363.6440735,2272.822754
3.642529011,22.75766754,90.89582062,205.5078125,363.6537476,2272.996338
3.644254446,22.72303581,90.95388794,205.2701263,363.7051392,2272.901367
3.642983198,22.72956467,90.92930603,205.0545654,363.7245483,2273.113525
3.639224052,22.73521423,90.96108246,204.9561615,363.6860352,2273.169434
3.64157939,22.73271561,90.91602325,204.7612457,363.7062378,2273.187256
3.639835596,22.72754478,90.90081024,204.7367859,363.7125244,2273.340332
3.647597551,22.71138191,90.92353821,204.64711,363.7562561,2273.141357
3.643993616,22.72973824,90.92479706,204.6040955,363.7488098,2273.546631
3.646302223,22.73227692,90.93328857,204.5691833,363.7089233,2273.265381
3.624332428,22.7238121,90.9567337,204.5736847,363.6822815,2273.225098
3.641699076,22.75253487,90.91090393,204.6642761,363.8213196,2273.169922
3.645798445,22.70643044,90.93769836,204.5328064,363.6695862,2273.081299
3.638452768,22.72850609,90.96988678,204.5738831,363.6924438,2273.357178
3.634852171,22.74508476,90.93338776,204.5859833,363.7067261,2273.134277
3.641234159,22.72957802,90.9716568,204.5473633,363.7137146,2273.29248
3.635056734,22.73997116,90.89409637,204.5703735,363.6820679,2273.147217
3.645744562,22.72963333,90.94904327,204.5164337,363.7184143,2273.385498
3.631172895,22.74163246,90.94435883,204.5476379,363.6777344,2273.335205
3.638858795,22.7207756,90.91945648,204.5967255,363.6351318,2273.086182
3.633141756,22.71732712,90.91681671,204.5330353,363.6663208,2273.136719
3.648676157,22.7273159,90.89225769,204.5923004,363.7145996,2273.000977
3.634512424,22.76322746,90.96087646,204.5552521,363.7145691,2273.055664
3.634806633,22.75418472,90.91352844,204.6107941,363.8007813,2273.205078
3.631027222,22.72790146,90.89466858,204.5382843,363.7136841,2273.113525
3.631932497,22.75169182,90.9213028,204.5559082,363.7278137,2273.166016
3.638516665,22.73433876,90.94390106,204.5451508,363.6813049,2273.438477
3.633772612,22.75079536,90.94376373,204.6068573,363.7616577,2272.985596
3.641577005,22.76343536,90.95219421,204.6191711,363.7417297,2273.225098
3.638828993,22.7218914,90.92915344,204.6250305,363.7154846,2273.149902
3.634083986,22.71765137,90.94822693,204.5274811,363.7801208,2273.412109
3.636538267,22.71656609,90.84624481,204.5407562,363.7390442,2273.247314
3.64224124,22.72562027,90.93592072,204.5546722,363.7539978,2273.360352
3.632452488,22.72720718,90.94894409,204.5716553,363.6445007,2273.233643
3.649897814,22.71412086,90.93408966,204.5811157,363.7247925,2273.124512
3.633098602,22.74147606,90.9318161,204.6300659,363.7555847,2273.099609
3.634643078,22.76312065,90.90777588,204.5328979,363.8518066,2273.224121
3.638243437,22.72818375,90.90966034,204.552475,363.6567993,2273.19458
3.641928434,22.72909927,90.94233704,204.5369415,363.6448669,2273.26001
3.629537106,22.71639252,90.90374756,204.5588074,363.7416077,2273.049805
3.638472557,22.72278595,90.91110992,204.5946045,363.6863403,2273.232422
3.630948544,22.75318718,90.91819763,204.5909271,363.6757813,2273.079346
3.631561995,22.71589661,90.9444046,204.572876,363.7481079,2273.243408
