initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
-0.322353333,2,1.538911939,7.282837391,-8.626387596,4.054198742
-0.583806455,-2.171519995,0.164265022,5.185707569,-10.73243809,-4.254337788
-0.818961203,-2.671515226,-1.06743145,2.101581812,-12.36607933,-11.40206242
-1.016521454,-3.073387384,-2.263351917,-1.362316847,-13.67616367,-17.25436592
-1.174516559,-3.386062145,-3.337748766,-4.960112572,-14.70132732,-22.22237015
-1.29947865,-3.630248785,-4.282814503,-8.254899025,-15.50772095,-26.30038261
-1.399119496,-3.823913336,-5.09177351,-10.72932434,-16.14438057,-29.4732933
-1.478811145,-3.982707262,-5.767331123,-12.28674221,-16.65138245,-32.08700562
-1.543188214,-4.118396759,-6.326468945,-13.19296169,-17.05966187,-34.25390244
-1.595813751,-4.238502026,-6.788216114,-13.71972561,-17.39254951,-36.10575104
-1.639156222,-4.34717989,-7.169005394,-14.03838825,-17.66738892,-37.6803627
-1.67508471,-4.446563244,-7.485235691,-14.24351597,-17.89701843,-39.02396011
-1.705114484,-4.536971569,-7.749206066,-14.38348579,-18.0909729,-40.1736412
-1.730480313,-4.617558002,-7.971344948,-14.48390293,-18.25642204,-41.15990448
-1.752119184,-4.687385082,-8.159827232,-14.5590229,-18.39883232,-42.00836563
-1.770744562,-4.745966434,-8.320954323,-14.61712837,-18.52240181,-42.74035263
-1.786897659,-4.793673992,-8.459815979,-14.66328526,-18.63043404,-43.37395859
-1.801008105,-4.831636906,-8.580323219,-14.70073032,-18.72551155,-43.92461777
-1.813402295,-4.861398697,-8.685624123,-14.73164272,-18.80968857,-44.40533829
-1.824352503,-4.884585857,-8.778227806,-14.75752068,-18.88463974,-44.82696152
-1.834083438,-4.902656555,-8.860129356,-14.77944851,-18.95171928,-45.19842148
-1.842766047,-4.916820049,-8.932961464,-14.79821968,-19.01202583,-45.52719498
-1.850555182,-4.92802,-8.998063087,-14.81445122,-19.06648445,-45.81946182
-1.85756886,-4.936974049,-9.05652523,-14.82858181,-19.11585999,-46.08044815
-1.863912344,-4.944214344,-9.109238625,-14.84098625,-19.16078949,-46.31449127
-1.869668961,-4.950137615,-9.156973839,-14.85193062,-19.20181465,-46.52517319
-1.874912024,-4.95503664,-9.20035553,-14.86166286,-19.23939705,-46.7155838
-1.879699588,-4.95912981,-9.239920616,-14.87034512,-19.27392769,-46.88830185
-1.884084582,-4.962585926,-9.276122093,-14.87814045,-19.30575371,-47.04547119
-1.888113022,-4.965529919,-9.309348106,-14.8851614,-19.33514214,-47.18900299
-1.891822457,-4.968055248,-9.33992672,-14.89151287,-19.36236382,-47.32046127
-1.895246506,-4.970238209,-9.36814785,-14.89729118,-19.38763237,-47.44122696
-1.898414254,-4.972140789,-9.394255638,-14.90255451,-19.41113472,-47.5524826
-1.90135181,-4.973808289,-9.418467522,-14.90736294,-19.43304634,-47.6552124
-1.904081583,-4.975278378,-9.440970421,-14.91177368,-19.45351982,-47.75032806
-1.906623483,-4.976581097,-9.461930275,-14.91583443,-19.4726696,-47.83860397
-1.908992887,-4.977740765,-9.481492043,-14.91957283,-19.49061775,-47.92071152
-1.91120708,-4.978777409,-9.499785423,-14.92303658,-19.5074749,-47.99721146
-1.913278341,-4.979709148,-9.516918182,-14.92624092,-19.52332878,-48.06866455
-1.915218234,-4.980549335,-9.532990456,-14.92922783,-19.53825951,-48.13551712
-1.917039752,-4.981309891,-9.548100471,-14.93199444,-19.55233955,-48.19817734
-1.91875267,-4.982001781,-9.562321663,-14.93458366,-19.56564522,-48.25701523
-1.92036283,-4.982629776,-9.575724602,-14.93699646,-19.5782299,-48.31232071
-1.921880364,-4.983205795,-9.588378906,-14.93925571,-19.59014702,-48.3644371
-1.923313022,-4.983731747,-9.600340843,-14.94137669,-19.60143661,-48.41357803
-1.924667239,-4.98421526,-9.61165905,-14.94336128,-19.61215401,-48.46001434
-1.925947309,-4.984660625,-9.622386932,-14.94523716,-19.62234306,-48.50391006
-1.927158475,-4.985072613,-9.632563591,-14.94700432,-19.63203049,-48.54551315
-1.928306222,-4.985451221,-9.642228127,-14.94866657,-19.64126396,-48.58493805
-1.929394007,-4.985803604,-9.65141964,-14.95022869,-19.65005302,-48.62237167
-1.930328131,-4.98609972,-9.659308434,-14.95156956,-19.65762138,-48.65447617
