initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
0.599637926,-0.140051335,-0.08766418,0.509140909,-0.739846587,-0.105675727
-8.588151932,-9.303602219,-9.298053741,-8.674071312,-9.894445419,-9.301264763
-16.09558487,-16.84967041,-16.81561661,-16.22610092,-17.38426399,-16.82799911
-22.21278572,-22.94464302,-22.91924286,-22.3188591,-23.48646927,-22.93792343
-27.19095421,-27.89596748,-27.86539268,-27.29898071,-28.39281654,-27.88568497
-31.25923538,-31.86637115,-31.84567451,-31.3461895,-32.3649826,-31.86117554
-34.53582382,-35.1288414,-35.10851288,-34.6178894,-35.52624512,-35.0831604
-37.18128204,-37.76593399,-37.73371506,-37.28406525,-38.11406708,-37.74043655
-39.32962799,-39.86406708,-39.88115692,-39.45339203,-40.2074585,-39.86909103
-41.13350296,-41.56201553,-41.53659821,-41.20812225,-41.90402985,-41.62024689
-42.54833984,-42.93010712,-42.92920303,-42.59704971,-43.28538895,-43.0432663
-43.74165726,-44.13421631,-44.11413956,-43.76509476,-44.41200638,-44.21093369
-44.68506241,-45.05466461,-45.03184891,-44.73709869,-45.30799866,-45.12950134
-45.46687317,-45.8255043,-45.8123703,-45.5213089,-46.08159256,-45.90690613
-46.15120316,-46.43263245,-46.46403122,-46.18135834,-46.72045135,-46.53962708
-46.69343185,-46.97027588,-46.98327255,-46.7097435,-47.27119064,-47.03575134
-47.12901688,-47.38309479,-47.46289825,-47.20200348,-47.66111755,-47.47093201
-47.48720169,-47.75065994,-47.82580948,-47.57947159,-48.01659012,-47.81812286
-47.80712891,-48.07007217,-48.10552979,-47.87680817,-48.28488159,-48.12274551
-48.07750702,-48.34165573,-48.33812714,-48.16734695,-48.53289032,-48.37432098
-48.31568527,-48.57103348,-48.55725479,-48.39549255,-48.75043106,-48.57260895
-48.51823425,-48.74013138,-48.745224,-48.57518768,-48.91962051,-48.75544357
-48.68252182,-48.91579819,-48.90218353,-48.73830414,-49.07337189,-48.91785812
-48.83757782,-49.05096817,-49.03559494,-48.89621735,-49.19380569,-49.05947113
-48.96363068,-49.17301559,-49.15678024,-49.02565765,-49.27331161,-49.17943192
-49.06781769,-49.27672577,-49.2449379,-49.13615417,-49.36619186,-49.28698349
-49.17165375,-49.35372162,-49.34273529,-49.24858856,-49.43000031,-49.35874557
-49.25647354,-49.42594147,-49.42184067,-49.34532928,-49.49543762,-49.41994095
-49.35034943,-49.50776672,-49.48365402,-49.40049744,-49.55846786,-49.49011993
-49.3979454,-49.56378555,-49.53705978,-49.45074463,-49.6098175,-49.55229568
-49.45244598,-49.62065125,-49.61081696,-49.49951553,-49.64369202,-49.59397125
-49.50732803,-49.66287994,-49.67006302,-49.56422424,-49.68579865,-49.63727188
-49.56574631,-49.70347214,-49.69634247,-49.61609268,-49.71966171,-49.68186569
-49.59735107,-49.73453522,-49.74658966,-49.64378738,-49.74219131,-49.73516083
-49.6306076,-49.77312088,-49.76143646,-49.67274475,-49.77399063,-49.75767136
-49.67069244,-49.80343246,-49.78900146,-49.70166016,-49.79161072,-49.79418564
-49.68684006,-49.83013916,-49.80137253,-49.73272324,-49.81604004,-49.83509064
-49.71680832,-49.85094452,-49.82579803,-49.76268387,-49.83876419,-49.85496521
-49.74071121,-49.86862946,-49.84765244,-49.77997208,-49.85450745,-49.88295364
-49.76134109,-49.88382721,-49.8632164,-49.80405807,-49.86500931,-49.89334869
-49.76997375,-49.89496994,-49.87887955,-49.81959152,-49.87822723,-49.90385056
