initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
200.8602448,201.7562866,202.4807129,202.8567047,203.129837,204.0332489
201.6092987,202.4982452,203.2311401,203.6168976,203.8519745,204.8278503
201.7756195,202.751297,203.4584656,203.914444,204.252655,205.2042236
202.0895538,202.8891602,203.5592499,204.0458069,204.3961029,205.1766815
202.0247192,202.9232635,203.6457825,204.1315613,204.4882813,205.2570496
202.1534729,203.0006714,203.8205872,204.0589752,204.3871918,205.2898254
202.0028839,202.9402466,203.8453217,204.2668152,204.3580475,205.2744446
202.0141754,202.9581909,203.7091522,204.1677551,204.3853455,205.2955627
202.1074982,202.9320984,203.723465,204.1234436,204.3972168,205.308548
202.0357361,202.9920502,203.6474915,204.1779327,204.4148407,205.2835999
201.9760132,203.0807495,203.6720581,204.1277161,204.34758,205.2982178
202.0784149,202.9716492,203.5496063,204.1733093,204.3254395,205.3482361
202.0946045,202.9618378,203.7586517,204.1066437,204.370224,205.2299042
202.108963,203.0484009,203.7746124,204.1230316,204.2350159,205.319397
201.9916382,203.1033325,203.7189636,204.0774078,204.2665405,205.3274536
201.9809875,202.9925842,203.7884521,204.1381378,204.4919434,205.3536682
202.091156,202.8567352,203.7539978,204.0591888,204.4339905,205.3574982
202.0368805,202.9520416,203.6517792,204.053833,204.3538971,205.1579437
202.1439362,203.0903931,203.6322937,204.0724487,204.2585907,205.3161163
202.0295258,202.9996948,203.7487946,204.1657715,204.3549957,205.2944489
202.1289825,202.9506836,203.7541656,203.9978638,204.4184418,205.4165955
202.1902771,202.9733429,203.7305145,204.0956421,204.4983521,205.3983765
202.1037445,203.0154572,203.6227112,204.0594025,204.5100555,205.384964
202.0172882,202.9149323,203.8139801,204.0220642,204.4152527,205.4594116
202.0817413,203.1612396,203.6425018,204.06073,204.5828705,205.4533997
202.108551,203.0355225,203.7169952,204.2569427,204.3778992,205.3860321
201.9292603,203.0259705,203.6974945,204.1034241,204.5709686,205.2914276
201.9797821,202.920639,203.6539154,204.2042847,204.3430939,205.2885895
202.0904999,203.0448456,203.7446289,204.1740265,204.4010468,205.32724
202.1917114,202.9341583,203.5363922,204.0336914,204.3438568,205.3602448
202.0815277,203.0984344,203.6419983,204.0450134,204.4452362,205.2561951
201.9313812,202.9472504,203.6855164,204.0471344,204.3003235,205.4000854
202.1273956,203.0869904,203.6396637,204.0807953,204.43927,205.2715149
202.1708832,203.0008698,203.7099915,204.1354828,204.4849701,205.2365112
202.0569458,203.0603333,203.5272827,204.142746,204.4164124,205.4368286
202.0650177,202.8735352,203.7004089,204.1060638,204.4305725,205.2662354
202.0371094,202.9175568,203.6182861,203.9881592,204.3929138,205.2831879
201.9924011,203.0373383,203.596344,204.1154785,204.2838135,205.3113251
202.0208893,202.9905243,203.8002777,204.2046967,204.3453674,205.4403381
202.0116882,203.072403,203.7679901,204.223526,204.366394,205.4451141
202.1142273,202.9660645,203.7638397,204.2359924,204.4664307,205.4228058
