initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
-4.31263552,-27.49402887,-109.9476213,-247.6036459,-439.9656016,-2750.055909
-3.493480664,-22.2702915,-89.05773959,-200.5590273,-356.3724686,-2227.545388
-3.571515911,-22.76792107,-91.04777548,-205.0406464,-364.3358139,-2277.321382
-3.563673586,-22.71791072,-90.84778256,-204.5902566,-363.5355212,-2272.319043
-3.564457426,-22.72290925,-90.8677718,-204.6352729,-363.6155103,-2272.819021
-3.564379044,-22.72240938,-90.8657728,-204.6307711,-363.6075107,-2272.769028
-3.564386169,-22.72245652,-90.86597269,-204.6312214,-363.6083113,-2272.774033
-3.564386164,-22.72245503,-90.86595438,-204.6311789,-363.6082321,-2272.773517
-3.564386169,-22.72245494,-90.86595446,-204.63118,-363.6082374,-2272.773564
-3.564386167,-22.7224549,-90.86595449,-204.6311802,-363.6082378,-2272.773566
-3.564386167,-22.72245488,-90.86595451,-204.6311803,-363.608238,-2272.773569
-3.564386167,-22.72245487,-90.86595451,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245485,-90.86595452,-204.6311803,-363.6082381,-2272.773568
-3.564386167,-22.72245485,-90.86595453,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245485,-90.86595453,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245485,-90.86595452,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245484,-90.86595453,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245483,-90.86595452,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245483,-90.86595453,-204.6311803,-363.608238,-2272.773568
-3.564386167,-22.72245484,-90.86595452,-204.6311803,-363.608238,-2272.773568
