initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
-1.995394114,-5.001929072,-9.992925284,-14.99186697,-19.99300709,-49.99823152
-1.795854541,-4.501735853,-8.993633671,-13.49268145,-17.99370741,-44.99840815
-1.815808492,-4.55175514,-9.093562815,-13.64259985,-18.1936371,-45.49839037
-1.813813102,-4.546753235,-9.083569999,-13.62760809,-18.17364447,-45.44839248
-1.814012634,-4.547253436,-9.084569268,-13.62910738,-18.17564372,-45.45339222
-1.813992687,-4.547203418,-9.084469281,-13.62895742,-18.17544379,-45.45289394
-1.813992687,-4.547205209,-9.084479336,-13.62897259,-18.17546392,-45.45294337
-1.813992687,-4.547205449,-9.084479271,-13.62897191,-18.17546224,-45.45293872
-1.813992687,-4.547205594,-9.084479225,-13.62897176,-18.17546203,-45.45293863
-1.813992687,-4.547205639,-9.0844792,-13.6289717,-18.17546202,-45.45293798
-1.813992687,-4.547205723,-9.084479192,-13.62897168,-18.17546203,-45.45293791
-1.813992687,-4.547205762,-9.084479173,-13.62897165,-18.175462,-45.45293792
-1.813992687,-4.547205808,-9.084479171,-13.62897163,-18.17546199,-45.45293803
-1.813992687,-4.547205853,-9.084479176,-13.6289716,-18.17546198,-45.45293803
-1.813992687,-4.547205868,-9.084479179,-13.62897159,-18.17546197,-45.45293806
-1.813992687,-4.54720588,-9.084479175,-13.62897158,-18.17546196,-45.45293813
-1.813992687,-4.547205891,-9.084479174,-13.62897157,-18.17546197,-45.45293812
-1.813992687,-4.547205897,-9.084479171,-13.62897157,-18.17546197,-45.45293809
-1.813992687,-4.547205908,-9.084479173,-13.62897156,-18.17546197,-45.452938
-1.813992687,-4.547205914,-9.084479175,-13.62897156,-18.17546197,-45.4529379
